,date,time,location,catch
0,2020-01-01,1,E,2
1,2020-01-01,1,E,4
2,2020-01-01,1,E,1
3,2020-01-01,1,E,0
4,2020-01-01,3,H2,0
5,2020-01-02,1,H3,1
6,2020-01-02,1,H3,4
7,2020-01-02,1,H3,3
8,2020-01-02,3,H6,0
9,2020-01-02,3,H6,3
10,2020-01-02,3,H6,1
11,2020-01-02,3,H6,0
12,2020-01-03,4,H1,2
13,2020-01-04,2,AB2,3
14,2020-01-04,2,AB2,0
15,2020-01-04,2,AB2,1
16,2020-01-04,4,H4,0
17,2020-01-04,4,H4,1
18,2020-01-05,1,H5,1
19,2020-01-05,1,H5,1
20,2020-01-05,1,H5,4
21,2020-01-05,1,H5,1
22,2020-01-05,3,H1,1
23,2020-01-06,4,H1,2
24,2020-01-07,2,MBA,4
25,2020-01-07,2,MBA,3
26,2020-01-07,2,MBA,0
27,2020-01-07,3,C2,2
28,2020-01-07,3,C2,2
29,2020-01-07,3,C2,3
30,2020-01-07,3,C2,1
31,2020-01-07,3,C2,0
32,2020-01-07,3,C2,4
33,2020-01-07,4,H5,3
34,2020-01-07,4,H5,0
35,2020-01-07,4,H5,0
36,2020-01-07,4,H5,2
37,2020-01-07,4,H5,1
38,2020-01-08,4,H6,3
39,2020-01-08,4,H6,0
40,2020-01-08,4,H6,1
41,2020-01-08,4,H6,1
42,2020-01-08,4,H6,0
43,2020-01-09,1,H4,3
44,2020-01-09,1,H4,1
45,2020-01-09,2,AB2,1
46,2020-01-09,2,AB2,2
47,2020-01-09,2,AB2,3
48,2020-01-10,1,E,0
49,2020-01-10,1,E,2
50,2020-01-10,1,E,2
51,2020-01-10,1,E,1
52,2020-01-10,2,AB3,1
53,2020-01-10,2,AB3,2
54,2020-01-10,2,AB3,4
55,2020-01-10,2,AB3,1
56,2020-01-10,4,H4,2
57,2020-01-10,4,H4,4
58,2020-01-11,1,H3,2
59,2020-01-11,1,H3,0
60,2020-01-11,1,H3,2
61,2020-01-11,3,C1,3
62,2020-01-11,3,C1,4
63,2020-01-11,3,C1,0
64,2020-01-11,4,H5,1
65,2020-01-11,4,H5,4
66,2020-01-11,4,H5,2
67,2020-01-11,4,H5,3
68,2020-01-11,4,H5,4
69,2020-01-12,3,H3,1
70,2020-01-12,3,H3,1
71,2020-01-13,1,E,4
72,2020-01-13,1,E,1
73,2020-01-13,1,E,1
74,2020-01-13,1,E,1
75,2020-01-13,2,MBA,2
76,2020-01-13,2,MBA,0
77,2020-01-13,2,MBA,3
78,2020-01-13,3,C3,2
79,2020-01-13,3,C3,4
80,2020-01-13,3,C3,3
81,2020-01-13,3,C3,1
82,2020-01-13,4,H3,2
83,2020-01-13,4,H3,2
84,2020-01-14,1,H3,1
85,2020-01-14,1,H3,4
86,2020-01-14,1,H3,1
87,2020-01-14,3,H1,3
88,2020-01-14,4,H1,0
89,2020-01-15,1,H4,0
90,2020-01-15,1,H4,0
91,2020-01-16,1,E,0
92,2020-01-16,1,E,4
93,2020-01-16,1,E,3
94,2020-01-16,1,E,4
95,2020-01-16,4,H2,2
96,2020-01-17,1,H6,1
97,2020-01-17,1,H6,4
98,2020-01-17,1,H6,2
99,2020-01-17,1,H6,3
100,2020-01-17,1,H6,3
101,2020-01-17,3,H6,2
102,2020-01-17,3,H6,4
103,2020-01-17,3,H6,0
104,2020-01-17,3,H6,1
105,2020-01-17,4,H1,1
106,2020-01-18,1,H1,4
107,2020-01-18,3,C3,2
108,2020-01-18,3,C3,3
109,2020-01-18,3,C3,4
110,2020-01-18,3,C3,2
111,2020-01-18,4,H1,3
112,2020-01-19,2,AB1,1
113,2020-01-19,2,AB1,2
114,2020-01-19,2,AB1,1
115,2020-01-19,3,H4,4
116,2020-01-19,3,H4,2
117,2020-01-19,4,H2,3
118,2020-01-20,1,H5,2
119,2020-01-20,1,H5,1
120,2020-01-20,1,H5,2
121,2020-01-20,1,H5,4
122,2020-01-20,3,C2,2
123,2020-01-20,3,C2,3
124,2020-01-20,3,C2,0
125,2020-01-20,3,C2,4
126,2020-01-20,3,C2,3
127,2020-01-20,3,C2,4
128,2020-01-20,4,H1,4
129,2020-01-21,1,E,0
130,2020-01-21,1,E,0
131,2020-01-21,1,E,0
132,2020-01-21,1,E,0
133,2020-01-21,3,H1,0
134,2020-01-22,1,H6,1
135,2020-01-22,1,H6,2
136,2020-01-22,1,H6,1
137,2020-01-22,1,H6,0
138,2020-01-22,1,H6,2
139,2020-01-22,3,C1,1
140,2020-01-22,3,C1,0
141,2020-01-22,3,C1,3
142,2020-01-23,4,H4,4
143,2020-01-23,4,H4,1
144,2020-01-25,3,H6,2
145,2020-01-25,3,H6,4
146,2020-01-25,3,H6,4
147,2020-01-25,3,H6,4
148,2020-01-25,4,H3,0
149,2020-01-25,4,H3,1
150,2020-01-26,4,H5,4
151,2020-01-26,4,H5,4
152,2020-01-26,4,H5,0
153,2020-01-26,4,H5,4
154,2020-01-26,4,H5,3
155,2020-01-27,1,H5,0
156,2020-01-27,1,H5,2
157,2020-01-27,1,H5,1
158,2020-01-27,1,H5,2
159,2020-01-27,3,H6,0
160,2020-01-27,3,H6,2
161,2020-01-27,3,H6,4
162,2020-01-27,3,H6,3
163,2020-01-28,1,H5,1
164,2020-01-28,1,H5,1
165,2020-01-28,1,H5,4
166,2020-01-28,1,H5,2
167,2020-01-28,2,AB3,2
168,2020-01-28,2,AB3,1
169,2020-01-28,2,AB3,1
170,2020-01-28,2,AB3,2
171,2020-01-28,3,C2,3
172,2020-01-28,3,C2,3
173,2020-01-28,3,C2,1
174,2020-01-28,3,C2,2
175,2020-01-28,3,C2,4
176,2020-01-28,3,C2,4
177,2020-01-29,1,H6,1
178,2020-01-29,1,H6,4
179,2020-01-29,1,H6,1
180,2020-01-29,1,H6,4
181,2020-01-29,1,H6,1
182,2020-01-29,2,AB3,0
183,2020-01-29,2,AB3,0
184,2020-01-29,2,AB3,4
185,2020-01-29,2,AB3,3
186,2020-01-29,3,H1,2
187,2020-01-30,1,H1,2
188,2020-01-30,4,H5,4
189,2020-01-30,4,H5,4
190,2020-01-30,4,H5,1
191,2020-01-30,4,H5,4
192,2020-01-30,4,H5,0
193,2020-01-31,1,H2,4
194,2020-01-31,2,AB1,0
195,2020-01-31,2,AB1,3
196,2020-01-31,2,AB1,0
197,2020-01-31,4,H2,1
198,2020-02-01,1,H5,3
199,2020-02-01,1,H5,0
200,2020-02-01,1,H5,4
201,2020-02-01,1,H5,2
202,2020-02-01,3,H5,0
203,2020-02-01,3,H5,4
204,2020-02-01,3,H5,0
205,2020-02-01,3,H5,0
206,2020-02-02,1,H3,3
207,2020-02-02,1,H3,0
208,2020-02-02,1,H3,4
209,2020-02-03,2,AB2,1
210,2020-02-03,2,AB2,3
211,2020-02-03,2,AB2,2
212,2020-02-04,4,H4,2
213,2020-02-04,4,H4,0
214,2020-02-05,1,H3,1
215,2020-02-05,1,H3,4
216,2020-02-05,1,H3,3
217,2020-02-05,3,C2,0
218,2020-02-05,3,C2,4
219,2020-02-05,3,C2,3
220,2020-02-05,3,C2,0
221,2020-02-05,3,C2,2
222,2020-02-05,3,C2,1
223,2020-02-05,4,H1,4
224,2020-02-06,1,H5,0
225,2020-02-06,1,H5,2
226,2020-02-06,1,H5,2
227,2020-02-06,1,H5,2
228,2020-02-06,3,C1,3
229,2020-02-06,3,C1,2
230,2020-02-06,3,C1,2
231,2020-02-07,3,H1,1
232,2020-02-08,1,E,2
233,2020-02-08,1,E,4
234,2020-02-08,1,E,3
235,2020-02-08,1,E,2
236,2020-02-08,2,AB2,1
237,2020-02-08,2,AB2,0
238,2020-02-08,2,AB2,3
239,2020-02-08,3,H1,1
240,2020-02-09,3,H2,1
241,2020-02-09,4,H6,1
242,2020-02-09,4,H6,4
243,2020-02-09,4,H6,2
244,2020-02-09,4,H6,4
245,2020-02-09,4,H6,3
246,2020-02-10,1,H2,4
247,2020-02-10,2,AB1,2
248,2020-02-10,2,AB1,4
249,2020-02-10,2,AB1,0
250,2020-02-10,4,H4,4
251,2020-02-10,4,H4,1
252,2020-02-12,3,H3,3
253,2020-02-12,3,H3,2
254,2020-02-12,4,H1,1
255,2020-02-13,3,H6,2
256,2020-02-13,3,H6,2
257,2020-02-13,3,H6,4
258,2020-02-13,3,H6,2
