,date,time,species,catch,effort,boat,location
0,2020-01-01,1,species3,46,113,boat1,H5
1,2020-01-01,1,species6,2,113,boat1,H5
2,2020-01-01,1,species9,17,113,boat1,H5
3,2020-01-01,1,species12,48,113,boat1,H5
4,2020-01-01,1,species4,3,259,boat8,E
5,2020-01-01,1,species7,154,259,boat8,E
6,2020-01-01,1,species10,53,259,boat8,E
7,2020-01-01,1,species13,49,259,boat8,E
8,2020-01-01,1,species3,91,141,boat5,H5
9,2020-01-01,1,species6,2,141,boat5,H5
10,2020-01-01,1,species9,30,141,boat5,H5
11,2020-01-01,1,species12,18,141,boat5,H5
12,2020-01-01,1,species2,176,176,boat7,H2
13,2020-01-01,1,species8,162,223,boat10,H4
14,2020-01-01,1,species11,61,223,boat10,H4
15,2020-01-01,1,species4,76,492,boat9,E
16,2020-01-01,1,species7,214,492,boat9,E
17,2020-01-01,1,species10,62,492,boat9,E
18,2020-01-01,1,species13,140,492,boat9,E
19,2020-01-01,1,species3,14,106,boat3,H6
20,2020-01-01,1,species5,69,106,boat3,H6
21,2020-01-01,1,species6,16,106,boat3,H6
22,2020-01-01,1,species9,6,106,boat3,H6
23,2020-01-01,1,species12,1,106,boat3,H6
24,2020-01-01,2,species8,60,195,boat9,AB1
25,2020-01-01,2,species9,4,195,boat9,AB1
26,2020-01-01,2,species10,131,195,boat9,AB1
27,2020-01-01,2,species8,177,333,boat3,AB1
28,2020-01-01,2,species9,87,333,boat3,AB1
29,2020-01-01,2,species10,69,333,boat3,AB1
30,2020-01-01,2,species5,468,601,boat1,AB2
31,2020-01-01,2,species6,66,601,boat1,AB2
32,2020-01-01,2,species7,67,601,boat1,AB2
33,2020-01-01,2,species5,217,383,boat8,AB2
34,2020-01-01,2,species6,30,383,boat8,AB2
35,2020-01-01,2,species7,136,383,boat8,AB2
36,2020-01-01,2,species1,163,714,boat4,AB3
37,2020-01-01,2,species2,199,714,boat4,AB3
38,2020-01-01,2,species3,268,714,boat4,AB3
39,2020-01-01,2,species4,84,714,boat4,AB3
40,2020-01-01,3,species8,40,181,boat3,C1
41,2020-01-01,3,species9,13,181,boat3,C1
42,2020-01-01,3,species10,128,181,boat3,C1
43,2020-01-01,3,species5,281,436,boat5,H3
44,2020-01-01,3,species8,155,436,boat5,H3
45,2020-01-01,3,species3,115,163,boat10,H6
46,2020-01-01,3,species6,24,163,boat10,H6
47,2020-01-01,3,species9,20,163,boat10,H6
48,2020-01-01,3,species12,4,163,boat10,H6
49,2020-01-01,3,species3,109,154,boat1,H6
50,2020-01-01,3,species6,0,154,boat1,H6
51,2020-01-01,3,species9,25,154,boat1,H6
52,2020-01-01,3,species12,20,154,boat1,H6
53,2020-01-01,3,species1,24,24,boat8,H1
54,2020-01-01,3,species5,25,608,boat2,C2
55,2020-01-01,3,species6,1,608,boat2,C2
56,2020-01-01,3,species7,127,608,boat2,C2
57,2020-01-01,3,species11,74,608,boat2,C2
58,2020-01-01,3,species12,7,608,boat2,C2
59,2020-01-01,3,species13,374,608,boat2,C2
60,2020-01-01,3,species5,399,547,boat9,H3
61,2020-01-01,3,species8,148,547,boat9,H3
62,2020-01-01,3,species1,241,241,boat4,H1
63,2020-01-01,3,species3,107,174,boat6,H6
64,2020-01-01,3,species6,33,174,boat6,H6
65,2020-01-01,3,species9,15,174,boat6,H6
66,2020-01-01,3,species12,19,174,boat6,H6
67,2020-01-01,4,species3,128,390,boat4,H6
68,2020-01-01,4,species6,47,390,boat4,H6
69,2020-01-01,4,species8,195,390,boat4,H6
70,2020-01-01,4,species9,0,390,boat4,H6
71,2020-01-01,4,species12,20,390,boat4,H6
72,2020-01-01,4,species5,162,233,boat10,H3
73,2020-01-01,4,species11,71,233,boat10,H3
74,2020-01-02,1,species2,268,268,boat3,H2
75,2020-01-02,1,species4,80,538,boat4,E
76,2020-01-02,1,species7,186,538,boat4,E
77,2020-01-02,1,species10,123,538,boat4,E
78,2020-01-02,1,species13,149,538,boat4,E
79,2020-01-02,1,species3,87,160,boat5,H5
80,2020-01-02,1,species6,13,160,boat5,H5
81,2020-01-02,1,species9,17,160,boat5,H5
82,2020-01-02,1,species12,43,160,boat5,H5
83,2020-01-02,1,species4,49,468,boat9,E
84,2020-01-02,1,species7,179,468,boat9,E
85,2020-01-02,1,species10,6,468,boat9,E
86,2020-01-02,1,species13,234,468,boat9,E
87,2020-01-02,1,species3,14,97,boat2,H5
88,2020-01-02,1,species6,8,97,boat2,H5
89,2020-01-02,1,species9,54,97,boat2,H5
90,2020-01-02,1,species12,21,97,boat2,H5
91,2020-01-02,1,species5,223,323,boat1,H3
92,2020-01-02,1,species8,33,323,boat1,H3
93,2020-01-02,1,species11,67,323,boat1,H3
94,2020-01-02,1,species5,206,614,boat8,H3
95,2020-01-02,1,species8,308,614,boat8,H3
96,2020-01-02,1,species11,100,614,boat8,H3
97,2020-01-02,1,species1,255,255,boat7,H1
98,2020-01-02,1,species8,172,190,boat10,H4
99,2020-01-02,1,species11,18,190,boat10,H4
100,2020-01-02,2,species8,438,531,boat4,AB1
101,2020-01-02,2,species9,92,531,boat4,AB1
102,2020-01-02,2,species10,1,531,boat4,AB1
103,2020-01-02,2,species8,440,468,boat1,AB1
104,2020-01-02,2,species9,27,468,boat1,AB1
105,2020-01-02,2,species10,1,468,boat1,AB1
106,2020-01-02,3,species1,29,331,boat2,C3
107,2020-01-02,3,species2,269,331,boat2,C3
108,2020-01-02,3,species3,14,331,boat2,C3
109,2020-01-02,3,species4,19,331,boat2,C3
110,2020-01-02,3,species3,151,171,boat10,H5
111,2020-01-02,3,species6,0,171,boat10,H5
112,2020-01-02,3,species9,15,171,boat10,H5
113,2020-01-02,3,species12,5,171,boat10,H5
114,2020-01-02,3,species5,164,444,boat8,H3
115,2020-01-02,3,species8,280,444,boat8,H3
116,2020-01-02,3,species1,62,318,boat3,C3
117,2020-01-02,3,species2,221,318,boat3,C3
118,2020-01-02,3,species3,16,318,boat3,C3
119,2020-01-02,3,species4,19,318,boat3,C3
120,2020-01-02,4,species3,22,166,boat3,H6
121,2020-01-02,4,species6,47,166,boat3,H6
122,2020-01-02,4,species8,73,166,boat3,H6
123,2020-01-02,4,species9,21,166,boat3,H6
124,2020-01-02,4,species12,3,166,boat3,H6
125,2020-01-02,4,species1,292,292,boat9,H1
126,2020-01-02,4,species1,319,319,boat6,H1
127,2020-01-02,4,species5,54,66,boat8,H4
128,2020-01-02,4,species11,12,66,boat8,H4
129,2020-01-02,4,species5,51,137,boat1,H4
130,2020-01-02,4,species11,86,137,boat1,H4
131,2020-01-02,4,species4,82,308,boat10,E
132,2020-01-02,4,species7,34,308,boat10,E
133,2020-01-02,4,species10,0,308,boat10,E
134,2020-01-02,4,species13,192,308,boat10,E
135,2020-01-02,4,species1,302,302,boat7,H1
136,2020-01-03,1,species3,51,114,boat5,H6
137,2020-01-03,1,species5,28,114,boat5,H6
138,2020-01-03,1,species6,6,114,boat5,H6
139,2020-01-03,1,species9,2,114,boat5,H6
140,2020-01-03,1,species12,27,114,boat5,H6
141,2020-01-03,1,species1,154,154,boat6,H1
142,2020-01-03,1,species8,46,100,boat1,H4
143,2020-01-03,1,species11,54,100,boat1,H4
144,2020-01-03,1,species8,4,14,boat2,H4
145,2020-01-03,1,species11,10,14,boat2,H4
146,2020-01-03,1,species3,106,200,boat9,H5
147,2020-01-03,1,species6,44,200,boat9,H5
148,2020-01-03,1,species9,28,200,boat9,H5
149,2020-01-03,1,species12,22,200,boat9,H5
150,2020-01-03,1,species3,124,250,boat7,H6
151,2020-01-03,1,species5,83,250,boat7,H6
152,2020-01-03,1,species6,21,250,boat7,H6
153,2020-01-03,1,species9,0,250,boat7,H6
154,2020-01-03,1,species12,22,250,boat7,H6
155,2020-01-03,1,species3,106,244,boat10,H5
156,2020-01-03,1,species6,49,244,boat10,H5
157,2020-01-03,1,species9,48,244,boat10,H5
158,2020-01-03,1,species12,41,244,boat10,H5
159,2020-01-03,1,species1,74,74,boat8,H1
160,2020-01-03,2,species11,158,300,boat8,MBA
161,2020-01-03,2,species12,69,300,boat8,MBA
162,2020-01-03,2,species13,73,300,boat8,MBA
163,2020-01-03,2,species1,191,843,boat4,AB3
164,2020-01-03,2,species2,292,843,boat4,AB3
165,2020-01-03,2,species3,275,843,boat4,AB3
166,2020-01-03,2,species4,85,843,boat4,AB3
167,2020-01-03,2,species1,175,365,boat2,AB3
168,2020-01-03,2,species2,4,365,boat2,AB3
169,2020-01-03,2,species3,102,365,boat2,AB3
170,2020-01-03,2,species4,84,365,boat2,AB3
171,2020-01-03,2,species8,343,427,boat10,AB1
172,2020-01-03,2,species9,80,427,boat10,AB1
173,2020-01-03,2,species10,4,427,boat10,AB1
174,2020-01-03,2,species8,421,577,boat3,AB1
175,2020-01-03,2,species9,5,577,boat3,AB1
176,2020-01-03,2,species10,151,577,boat3,AB1
177,2020-01-03,2,species8,398,604,boat1,AB1
178,2020-01-03,2,species9,84,604,boat1,AB1
179,2020-01-03,2,species10,122,604,boat1,AB1
180,2020-01-03,3,species3,118,158,boat10,H6
181,2020-01-03,3,species6,18,158,boat10,H6
182,2020-01-03,3,species9,20,158,boat10,H6
183,2020-01-03,3,species12,2,158,boat10,H6
184,2020-01-03,3,species2,28,28,boat7,H2
185,2020-01-03,3,species1,63,260,boat8,C3
186,2020-01-03,3,species2,148,260,boat8,C3
187,2020-01-03,3,species3,4,260,boat8,C3
188,2020-01-03,3,species4,45,260,boat8,C3
189,2020-01-03,3,species8,6,60,boat5,C1
190,2020-01-03,3,species9,14,60,boat5,C1
191,2020-01-03,3,species10,40,60,boat5,C1
192,2020-01-03,3,species8,36,187,boat4,C1
193,2020-01-03,3,species9,18,187,boat4,C1
194,2020-01-03,3,species10,133,187,boat4,C1
195,2020-01-03,4,species3,146,367,boat6,H6
196,2020-01-03,4,species6,17,367,boat6,H6
197,2020-01-03,4,species8,193,367,boat6,H6
198,2020-01-03,4,species9,5,367,boat6,H6
199,2020-01-03,4,species12,6,367,boat6,H6
200,2020-01-03,4,species3,36,362,boat10,H5
201,2020-01-03,4,species6,10,362,boat10,H5
202,2020-01-03,4,species8,238,362,boat10,H5
203,2020-01-03,4,species9,59,362,boat10,H5
204,2020-01-03,4,species12,19,362,boat10,H5
205,2020-01-03,4,species4,73,642,boat2,E
206,2020-01-03,4,species7,204,642,boat2,E
207,2020-01-03,4,species10,19,642,boat2,E
208,2020-01-03,4,species13,346,642,boat2,E
209,2020-01-03,4,species2,42,42,boat3,H2
210,2020-01-03,4,species3,177,565,boat4,H5
211,2020-01-03,4,species6,26,565,boat4,H5
212,2020-01-03,4,species8,269,565,boat4,H5
213,2020-01-03,4,species9,74,565,boat4,H5
214,2020-01-03,4,species12,19,565,boat4,H5
215,2020-01-03,4,species5,14,45,boat9,H4
216,2020-01-03,4,species11,31,45,boat9,H4
217,2020-01-03,4,species3,103,217,boat1,H6
218,2020-01-03,4,species6,49,217,boat1,H6
219,2020-01-03,4,species8,35,217,boat1,H6
220,2020-01-03,4,species9,16,217,boat1,H6
221,2020-01-03,4,species12,14,217,boat1,H6
222,2020-01-03,4,species3,51,285,boat5,H5
223,2020-01-03,4,species6,17,285,boat5,H5
224,2020-01-03,4,species8,126,285,boat5,H5
225,2020-01-03,4,species9,48,285,boat5,H5
226,2020-01-03,4,species12,43,285,boat5,H5
227,2020-01-04,1,species3,94,209,boat9,H5
228,2020-01-04,1,species6,45,209,boat9,H5
229,2020-01-04,1,species9,36,209,boat9,H5
230,2020-01-04,1,species12,34,209,boat9,H5
231,2020-01-04,1,species4,41,416,boat5,E
232,2020-01-04,1,species7,229,416,boat5,E
233,2020-01-04,1,species10,66,416,boat5,E
234,2020-01-04,1,species13,80,416,boat5,E
235,2020-01-04,1,species2,365,365,boat3,H2
236,2020-01-04,2,species8,614,813,boat2,AB1
237,2020-01-04,2,species9,42,813,boat2,AB1
238,2020-01-04,2,species10,157,813,boat2,AB1
239,2020-01-04,2,species5,97,359,boat3,AB2
240,2020-01-04,2,species6,34,359,boat3,AB2
241,2020-01-04,2,species7,228,359,boat3,AB2
242,2020-01-04,2,species11,137,527,boat4,MBA
243,2020-01-04,2,species12,66,527,boat4,MBA
244,2020-01-04,2,species13,324,527,boat4,MBA
245,2020-01-04,2,species11,89,457,boat10,MBA
246,2020-01-04,2,species12,43,457,boat10,MBA
247,2020-01-04,2,species13,325,457,boat10,MBA
248,2020-01-04,2,species1,231,892,boat1,AB3
249,2020-01-04,2,species2,620,892,boat1,AB3
250,2020-01-04,2,species3,38,892,boat1,AB3
251,2020-01-04,2,species4,3,892,boat1,AB3
252,2020-01-04,2,species8,272,340,boat6,AB1
253,2020-01-04,2,species9,55,340,boat6,AB1
254,2020-01-04,2,species10,13,340,boat6,AB1
255,2020-01-04,2,species5,484,667,boat5,AB2
256,2020-01-04,2,species6,73,667,boat5,AB2
257,2020-01-04,2,species7,110,667,boat5,AB2
258,2020-01-04,2,species8,376,587,boat7,AB1
259,2020-01-04,2,species9,70,587,boat7,AB1
260,2020-01-04,2,species10,141,587,boat7,AB1
261,2020-01-04,2,species1,264,568,boat9,AB3
262,2020-01-04,2,species2,93,568,boat9,AB3
263,2020-01-04,2,species3,120,568,boat9,AB3
264,2020-01-04,2,species4,91,568,boat9,AB3
265,2020-01-04,2,species8,75,208,boat8,AB1
266,2020-01-04,2,species9,86,208,boat8,AB1
267,2020-01-04,2,species10,47,208,boat8,AB1
268,2020-01-04,3,species3,8,123,boat7,H5
269,2020-01-04,3,species6,34,123,boat7,H5
270,2020-01-04,3,species9,50,123,boat7,H5
271,2020-01-04,3,species12,31,123,boat7,H5
272,2020-01-04,3,species3,121,167,boat8,H6
273,2020-01-04,3,species6,7,167,boat8,H6
274,2020-01-04,3,species9,21,167,boat8,H6
275,2020-01-04,3,species12,18,167,boat8,H6
276,2020-01-04,3,species1,1,1,boat2,H1
277,2020-01-04,3,species5,380,409,boat6,H3
278,2020-01-04,3,species8,29,409,boat6,H3
279,2020-01-04,3,species1,49,295,boat9,C3
280,2020-01-04,3,species2,181,295,boat9,C3
281,2020-01-04,3,species3,19,295,boat9,C3
282,2020-01-04,3,species4,46,295,boat9,C3
283,2020-01-04,3,species2,334,334,boat1,H2
284,2020-01-04,3,species2,80,80,boat4,H2
285,2020-01-04,3,species1,53,458,boat10,C3
286,2020-01-04,3,species2,391,458,boat10,C3
287,2020-01-04,3,species3,13,458,boat10,C3
288,2020-01-04,3,species4,1,458,boat10,C3
289,2020-01-04,3,species5,54,84,boat5,H4
290,2020-01-04,3,species8,30,84,boat5,H4
291,2020-01-04,3,species3,123,164,boat3,H5
292,2020-01-04,3,species6,15,164,boat3,H5
293,2020-01-04,3,species9,21,164,boat3,H5
294,2020-01-04,3,species12,5,164,boat3,H5
295,2020-01-04,4,species4,46,500,boat2,E
296,2020-01-04,4,species7,115,500,boat2,E
297,2020-01-04,4,species10,49,500,boat2,E
298,2020-01-04,4,species13,290,500,boat2,E
299,2020-01-04,4,species5,63,136,boat3,H4
300,2020-01-04,4,species11,73,136,boat3,H4
301,2020-01-04,4,species2,496,496,boat8,H2
302,2020-01-04,4,species3,163,187,boat9,H5
303,2020-01-04,4,species6,10,187,boat9,H5
304,2020-01-04,4,species8,9,187,boat9,H5
305,2020-01-04,4,species9,1,187,boat9,H5
306,2020-01-04,4,species12,4,187,boat9,H5
307,2020-01-04,4,species5,73,150,boat6,H4
308,2020-01-04,4,species11,77,150,boat6,H4
309,2020-01-04,4,species1,335,335,boat1,H1
310,2020-01-04,4,species1,35,35,boat5,H1
311,2020-01-04,4,species2,60,60,boat10,H2
312,2020-01-05,1,species8,236,247,boat6,H4
313,2020-01-05,1,species11,11,247,boat6,H4
314,2020-01-05,2,species5,506,720,boat7,AB2
315,2020-01-05,2,species6,94,720,boat7,AB2
316,2020-01-05,2,species7,120,720,boat7,AB2
317,2020-01-05,2,species8,607,794,boat1,AB1
318,2020-01-05,2,species9,109,794,boat1,AB1
319,2020-01-05,2,species10,78,794,boat1,AB1
320,2020-01-05,2,species11,123,249,boat10,MBA
321,2020-01-05,2,species12,16,249,boat10,MBA
322,2020-01-05,2,species13,110,249,boat10,MBA
323,2020-01-05,2,species1,312,778,boat6,AB3
324,2020-01-05,2,species2,252,778,boat6,AB3
325,2020-01-05,2,species3,152,778,boat6,AB3
